name,Idag Procent,Idag Plus/Minus,Seneste,Køb,Sælg
NovoNordiskBA/SMDKKMDKK..,"0,87%","10,20","DKK1.165,401.165,001.165,401.178,401.164,20416",4,1
VestasWindSystemsA/SMDKKMDKK..,"2,56%","5,25","DKK210,00210,00210,05212,25203,85299",2,9
DSVA/S,"0,11%","1,50","DKK1.327,501.327,001.327,501.330,501.321,00131",MDKK131,MDKK13.51.31
"A.P.MøllerMærskBA/S+,%+DKK.....MDKKMDKK..",1,1,1,1,3
CarlsbergBA/SMDKK..,"1,91%","21,50","DKK1.145,501.145,001.146,001.147,001.137,0088",MDKK88,1
ColoplastBA/SMDKK..,"0,28%","2,60","DKK926,80926,60927,20940,00923,6088",MDKK88,1
ØrstedA/S,"2,02%","13,20","DKK666,00666,00666,40668,20649,0081",MDKK81,MDKK13.50.46
NovozymesBA/SMDKK..,"2,19%","7,80","DKK364,10364,00364,20365,20358,1058",MDKK58,1
ZealandPharmaA/SMDKK..,"0,31%","0,80","DKK258,40258,40258,60265,00254,0056",MDKK56,1
FLSmidth&Co.A/SMDKKMDKK..,"2,13%","6,60","DKK302,80302,40302,80312,80298,8051",5,1
DanskeBankA/SMDKK..,"0,11%","0,15","DKK140,40140,30140,40141,35139,8051",MDKK51,1
GenmabA/S,"0,24%",7,DKK2.8762.8732.8752.8992.87050,MDKK50,MDKK13.51.43
PandoraA/S,"0,75%","4,60","DKK618,60618,60618,80622,80613,0045",MDKK45,MDKK13.51.42
BavarianNordicA/SMDKK..,"0,81%","1,70","DKK207,10206,90207,20212,50206,0043",MDKK43,1
TORMplcAMDKK..,"3,52%","6,90","DKK189,00188,80189,10192,60187,5038",MDKK38,1
RoyalUNIBREWA/SMDKK..,"3,24%","20,20","DKK644,20644,20644,60645,40628,4036",MDKK36,1
SimCorpA/S,"0,14%","1,00","DKK730,00730,50731,00732,00730,0032",MDKK32,MDKK13.51.31
TrygA/S,"0,44%","0,70","DKK160,50160,45160,55160,75159,8028",MDKK28,MDKK13.51.36
NordeaBankAbpMDKK..,"0,72%","0,51","DKK71,1771,1271,1571,3870,5327",MDKK27,1
Chr.HansenHoldingA/SMDKKMDKK..,"2,25%","12,00","DKK546,20546,20546,80549,20535,0027",2,7
GNStoreNordA/SMDKKMDKK..,"0,41%","0,75","DKK182,50182,45182,55183,15181,1527",2,7
"A.P.MøllerMærskAA/S+,%+DKK.....MDKKMDKK..",1,1,7,1,4
JyskeBankA/SMDKK..,"0,19%","0,90","DKK464,40464,40464,60467,30461,9026",MDKK26,1
H.LundbeckA/SBMDKKMDKK..,"1,42%","0,52","DKK37,1837,1637,2037,6636,8424",2,4
NetcompanyGroupA/SMDKK..,"1,95%","5,20","DKK272,30272,30272,50272,50268,2023",MDKK23,1
D/SNorden,"0,78%","2,80","DKK355,60355,60356,00358,60348,0022",MDKK22,MDKK13.51.33
RockwoolA/Sser.BMDKKMDKK..,"0,76%","13,50","DKK1.766,501.766,501.767,501.780,001.752,0021",2,1
DemantA/S,"0,43%","1,20","DKK280,50280,60280,90284,10280,2020",MDKK20,MDKK13.51.31
AmbuA/S,"0,13%","0,15","DKK113,15113,10113,20114,60112,9019",MDKK19,MDKK13.50.43
NKTA/S,"0,83%","3,00","DKK365,80365,60366,20368,00362,0017",MDKK17,MDKK13.51.08
ChemoMetecA/S,"5,54%","22,80","DKK434,20434,00434,60434,80410,4016",MDKK16,MDKK13.51.41
SydbankA/S,"0,55%","1,60","DKK287,20287,00287,40291,00286,0015",MDKK15,MDKK13.51.53
ISSA/S,"0,21%","0,30","DKK141,30141,30141,35142,15140,6015",MDKK15,MDKK13.51.24
ALKAbellóBA/SMDKK..,"0,23%","0,20","DKK87,2587,1587,3088,2087,1515",MDKK15,1
Alm.BrandA/SMDKK..,"1,65%","0,19","DKK11,3511,3511,3611,4611,3113",MDKK13,1
HusCompagnietA/S,"4,14%","2,40","DKK60,4059,9060,4060,4058,0010",MDKK10,MDKK13.49.16
NNITA/S,"8,88%","7,50","DKK92,0092,0092,3092,9085,907,6","MDKK7,6",MDKK13.43.02
"SparNordBankA/SMDKK,MDKK..","0,60%","0,60","DKK100,20100,20100,30101,20100,007,1",7,1
TopdanmarkA/S,"0,74%","2,60","DKK355,60355,60356,00355,60353,007,0","MDKK7,0",MDKK13.51.47
MatasA/S,"0,45%","0,40","DKK89,9089,7089,9090,3089,207,0","MDKK7,0",MDKK13.50.47
"NTGNordicTransportGroupA/SDKK,,,,,,MDKK,MDKK..","2,14%","9,00",4,2,9
RingkjøbingLandbobankA/SMDKK..,"0,11%","1,00","DKK922,00921,50922,50930,00921,006,8","MDKK6,8",1
DFDSA/S,"0,53%","1,40","DKK264,00263,80264,20265,40260,606,0","MDKK6,0",MDKK13.50.06
"GreenHydrogenSystemsA/SMDKK,MDKK..","1,27%","0,35","DKK27,9027,8028,0028,1027,503,9",3,9
"H.LundbeckA/SAMDKK,MDKK..","1,85%","0,64","DKK35,2835,2035,2835,4434,743,8",3,8
HHInternationalA/SMDKK..,"0,31%","0,30","DKK98,0097,7098,00100,8097,303,6","MDKK3,6",1
SolarBA/SMDKK..,"0,37%",2,"DKK5345345365425333,0","MDKK3,0",1
"Schouw&Co.A/SMDKK,MDKK..","1,05%",6,"DKK5665655665755652,8",2,8
SparekassenSjællandFynA/SMDKK..,"0,11%","0,20","DKK188,00188,20188,80189,40188,002,8","MDKK2,8",1
NilfiskHoldingA/SMDKK..,"1,52%","2,40","DKK155,60155,40155,80159,40155,602,5","MDKK2,5",1
NobleCorporationPlcMDKK..,"2,21%","5,50","DKK254,50254,00255,00255,50252,002,0","MDKK2,0",1
"Brdr.A&OJohansenA/SB+,%+,DKK,,,,,,MDKK,MDKK..",1,3,6,1,0
SPGroupA/SMDKK..,"0,50%","1,50","DKK298,00298,00299,50304,50298,001,6","MDKK1,6",1
SASAB,"0,41%","0,0008","DKK0,19330,19330,19380,19600,19071,6","MDKK1,6",MDKK13.51.49
"Bang&OlufsenA/SMDKK,MDKK..","1,00%","0,12","DKK12,0811,9812,0412,2811,961,6",1,6
"RockwoolA/Sser.AMDKK,MDKK..","0,56%",10,"DKK1.7601.7621.7681.7721.7561,4",1,4
"PerAarsleffHoldingA/SBDKK,,,,,,MDKK,MDKK..","0,99%","3,00",3,0,5
"ScandinavianTobaccoGroupA/SMDKK,MDKK..","0,56%","0,70","DKK125,70125,60125,80126,30125,001,1",1,1
"ScandinavianMedicalSolutionsA/SMDKK,MDKK..","1,31%","0,15","DKK11,6011,4011,6011,8011,250,9",0,9
cBrainA/S,"0,73%","1,00","DKK137,20137,20138,00138,80136,800,8","MDKK0,8",MDKK13.51.29
SkjernBankA/SMDKK..,"1,18%","1,50","DKK125,50124,00125,50126,00124,000,6","MDKK0,6",1
JobindexA/S,"5,41%",100,"DKK1.7501.7201.7501.7701.7000,6","MDKK0,6",MDKK13.49.04
BankNordikP/F,"1,83%","2,50","DKK134,00133,50134,50144,00133,500,6","MDKK0,6",MDKK13.50.32
CarlsbergAA/SMDKK..,"0,70%",10,"DKK1.4401.4401.4601.4501.4350,6","MDKK0,6",1
VestjyskBankA/SMDKK..,"0,29%","0,01","DKK3,403,403,433,483,280,6","MDKK0,6",1
BioPortoA/S,"1,98%","0,032","DKK1,5881,5601,6141,6301,5520,6","MDKK0,6",MDKK13.51.36
BooztAB,"1,65%","1,25","DKK76,9076,7076,9077,6076,550,6","MDKK0,6",MDKK13.50.05
"PARKENSport&EntertainmentA/SDKK,,,,,,MDKK,MDKK..","3,82%","3,70",1,0,0
PrimeOfficeMDKK..,"A/S0,00%0","DKK2202202282242140,4","MDKK0,4",1,3
NordfynsBankA/SMDKK..,"0,81%",2,"DKK2462462502502460,4","MDKK0,4",1
JeudanA/S,"1,92%",5,"DKK2662632662662610,4","MDKK0,4",MDKK13.51.13
UIEPlc,"0,51%","1,00","DKK197,00197,00197,50199,00197,000,3","MDKK0,3",MDKK13.42.15
BrainA/S,"3,00%","0,024","DKK0,7760,7760,8000,8500,7760,3","MDKK0,3",MDKK13.51.43
Brdr.HartmannA/S,"0,34%",1,"DKK2942952972962930,3","MDKK0,3",MDKK13.29.29
ColumbusA/S,"1,15%","0,08","DKK6,866,846,866,926,840,3","MDKK0,3",MDKK12.11.11
KøbenhavnsLufthavneMDKK..,"A/S0,00%0","DKK5.8605.8405.9005.9005.8600,3","MDKK0,3",1,3
RTXA/S,"1,67%","2,00","DKK117,50117,00118,00121,00117,500,2","MDKK0,2",MDKK13.48.26
AGFA/SBMDKK..,"4,31%","0,028","DKK0,6220,6240,6340,6560,6020,2","MDKK0,2",1
TivoliA/S,"0,25%",2,"DKK7947927947967940,2","MDKK0,2",MDKK13.44.38
"EnnogieSolarGroupA/SMDKK,MDKK..","1,57%","0,40","DKK25,9025,7025,9026,4025,200,2",0,2
TriforkHoldingAGMDKK..,"0,79%","1,20","DKK149,80149,40150,60152,00149,400,2","MDKK0,2",1
SKAKOA/S,"1,97%","1,50","DKK74,5075,0076,0076,0074,500,2","MDKK0,2",MDKK13.35.25
Totalbanken,"A/S0,00%0","DKK1541541551571460,2","MDKK0,2",MDKK13.36.44,
GreenMobilityA/S,"2,17%","1,10","DKK49,5048,9049,5050,0048,500,2","MDKK0,2",MDKK13.21.51
"EgnsINVESTEjd.,TysklandA/SMDKK,MDKK..","1,75%",4,"DKK2242242282242240,2",0,2
AtlanticPetroleumP/FMDKK..,"8,10%","0,440","DKK4,9904,7705,205,634,9900,1","MDKK0,1",1
TCMGroupA/SMDKK..,"2,72%","2,00","DKK71,4071,4072,4073,0071,400,1","MDKK0,1",1
"MTHøjgaardHoldingA/SMDKK,MDKK..","0,36%","0,50","DKK140,00138,50139,50140,00138,500,1",0,1
ShapeRoboticsA/SMDKK..,"1,53%","0,40","DKK25,8025,8026,1026,6025,700,1","MDKK0,1",1
LollandsBankA/SMDKK..,"2,63%",15,"DKK5555555655605500,1","MDKK0,1",1
ReMatchHoldingA/SMDKK..,"19,77%","1,38","DKK5,605,906,086,785,600,1","MDKK0,1",1
PenneoA/S,"1,18%","0,10","DKK8,408,408,508,668,400,1","MDKK0,1",MDKK13.40.00
MapsPeopleA/S,"7,18%","0,28","DKK3,623,663,943,983,620,1","MDKK0,1",MDKK12.29.23
WirtekA/S,"3,46%","0,45","DKK12,5512,5012,8512,9512,550,1","MDKK0,1",MDKK12.36.25
AquaporinA/S,"1,81%","1,40","DKK78,6078,0079,0078,6077,400,1","MDKK0,1",MDKK13.42.21
Össurhf.,"2,27%","0,70","DKK31,5530,9031,5031,7530,500,1","MDKK0,1",MDKK13.49.57
DancannPharma,"0,99%","0,005","DKK0,5000,4990,5000,5250,4890,1","MDKK0,1",MDKK13.50.33
DigizuiteA/S,"2,99%","0,20","DKK6,506,406,506,606,500,1","MDKK0,1",MDKK13.32.33
CSMEDICA,"1,18%","0,08","DKK6,706,686,706,786,360,1","MDKK0,1",MDKK13.49.47
Curasight,"3,49%","0,65","DKK18,0017,6018,0019,0017,300,1","MDKK0,1",MDKK13.47.37
